tweet_id,favorites,retweets
892420643555336193,38841,8604
892177421306343426,33272,6318
891815181378084864,25071,4193
891689557279858688,42231,8716
891327558926688256,40369,9488
891087950875897856,20244,3137
890971913173991426,11867,2091
890729181411237888,65634,19072
890609185150312448,27802,4304
890240255349198849,31981,7481
890006608113172480,30691,7402
889880896479866881,27827,5012
889665388333682689,48174,10146
889638837579907072,27209,4583
889531135344209921,15119,2253
889278841981685760,25336,5482
888917238123831296,29124,4540
888804989199671297,25624,4382
888554962724278272,19937,3614
888078434458587136,21786,3529
887705289381826560,30230,5438
887517139158093824,46301,11760
887473957103951883,69218,18398
887343217045368832,33732,10495
887101392804085760,30580,6008
886983233522544640,35203,7833
886736880519319552,12087,3323
886680336477933568,22461,4510
886366144734445568,21161,3211
886267009285017600,116,4
886258384151887873,28012,6347
886054160059072513,0,104
885984800019947520,32763,6866
885528943205470208,36059,6496
885518971528720385,20455,3794
885311592912609280,0,18740
885167619883638784,21979,4421
884925521741709313,77679,18611
884876753390489601,27978,5841
884562892145688576,24331,4919
884441805382717440,27032,5707
884247878851493888,73145,20630
884162670584377345,20413,3018
883838122936631299,21932,3478
883482846933004288,46019,10051
883360690899218434,22595,3719
883117836046086144,37278,6738
882992080364220416,23982,3964
882762694511734784,28359,4976
882627270321602560,27929,6158
882268110199369728,45047,11725
882045870035918850,29412,5039
881906580714921986,24341,3424
881666595344535552,50628,10791
881633300179243008,128,7
881536004380872706,49550,16156
881268444196462592,23108,5200
880935762899988482,17036,2807
880872448815771648,21339,3857
880465832366813184,28567,6353
880221127280381952,27126,4277
880095782870896641,27676,4401
879862464715927552,22350,3532
879674319642796034,313,10
879492040517615616,23448,3219
879415818425184262,106084,44663
879376492567855104,16790,3148
879130579576475649,0,6922
879050749262655488,22635,4770
879008229531029506,19003,2722
878776093423087618,19408,4175
878604707211726852,30343,7329
878404777348136964,0,1309
878316110768087041,0,6734
878281511006478336,7774,1309
878057613040115712,42127,6922
877736472329191424,80150,19419
877611172832227328,0,81
877556246731214848,22811,3871
877316821321428993,27414,5244
877201837425926144,27215,5674
876838120628539392,20722,3409
876537666061221889,23495,4671
876484053909872640,18817,2432
876120275196170240,28005,4762
875747767867523072,25273,4356
875144289856114688,21989,4996
875097192612077568,27503,6136
875021211251597312,25565,4787
874680097055178752,27945,4714
874434818259525634,0,15027
874296783580663808,26146,4182
874057562936811520,22736,4021
874012996292530176,34840,10645
873580283840344065,24365,4018
873337748698140672,0,1617
873213775632977920,7299,1617
872967104147763200,27522,5506
872820683541237760,14799,3762
872668790621863937,0,28
872620804844003328,20907,3781
872486979161796608,40938,9184
872261713294495745,34456,6461
872122724285648897,34673,8298
871879754684805121,38309,11472
871762521631449091,20406,3553
871515927908634625,20381,3529
871166179821445120,0,5814
871102520638267392,21078,5609
871032628920680449,22849,3892
870804317367881728,33948,6369
870726314365509632,120,3
870656317836468226,12553,2715
870374049280663552,83501,26910
870308999962521604,22038,4260
